project_name,input_type,category,status,passed_filter,control_aligned,control_requires_iteration,n_control_findings,n_filter_issues,overall_gini,t0_gini,gini_12m,gini_24m,gini_full,insider_share_t0,t0_distributed_share,fairness_drift,stress_pass_rate,stress_passed,year1_inflation_proxy,n_allocations,insider_pct,distributed_pct,team_pct,investor_pct
FluidLend Protocol,structured,DeFi,Success,True,True,False,0,0,0.3760000000000001,0.6000000000000001,0.575609756097561,0.48539325842696623,0.3797979797979798,0.0,1.0,0.1919191919191919,1.0,True,2.5,5,20.0,80.0,12.0,8.0
SynthSwap DEX,structured,DeFi,Success,True,True,False,0,0,0.2749999999999999,0.5961538461538463,0.5648148148148149,0.40873015873015883,0.27513089005235614,0.0,1.0,0.34659685863874345,1.0,True,3.8461538461538463,4,35.0,65.0,25.0,0
YieldFarm Collective,structured,DeFi,Success,True,True,False,0,0,0.4085714285714286,0.7252747252747254,0.676530612244898,0.52296918767507,0.4128051220488198,0.0,1.0,0.3445378151260505,0.8,True,7.6923076923076925,7,35.0,65.0,15.0,15.0
StableAsset USD,structured,DeFi,Success,True,True,False,0,0,0.22399999999999998,0.0,0.3900000000000001,0.22013422818791972,0.22399999999999998,0.0,0.0,0.32,1.0,True,20.0,5,32.0,68.0,20.0,12.0
InsureChain Protocol,structured,DeFi,Success,True,True,False,0,0,0.256,0.526027397260274,0.4894736842105263,0.3540229885057471,0.258151260504202,0.0,1.0,0.2638655462184874,1.0,True,4.10958904109589,5,27.0,73.0,15.0,12.0
CurveRoute Exchange,structured,DeFi,Success,True,True,False,0,0,0.4488888888888889,0.746031746031746,0.6817777777777778,0.5346031746031745,0.45363211951447235,0.0,1.0,0.29411764705882354,0.8,True,7.142857142857142,9,30.0,70.0,15.0,13.0
PlayAxis Gaming,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.49249999999999994,0.778225806451613,0.7347328244274809,0.5956349206349207,0.4983438485804417,0.0,1.0,0.3741324921135647,0.8,True,5.64516129032258,8,38.0,62.0,20.0,15.0
MetaEstate Virtual Realty,structured,Gaming and Metaverse,Success,True,False,False,1,0,0.37142857142857144,0.7532467532467533,0.7428571428571429,0.5459882583170255,0.3830554303740423,0.0,1.0,0.444794952681388,0.8,True,2.272727272727273,7,45.0,55.0,20.0,20.0
NFTBattle Arena,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.51,0.0,0.5685240963855422,0.49818361955085866,0.51,0.0,0.0,0.27,0.4,False,27.66666666666666,8,27.0,73.0,12.0,15.0
EsportsLeague Token,structured,Gaming and Metaverse,Success,True,False,False,1,0,0.47,0.7613636363636365,0.7613636363636365,0.5733870967741936,0.47,0.0,1.0,0.45,0.8,True,0.0,8,45.0,55.0,21.0,22.0
Layer2Surge Scaling,structured,Infrastructure,Success,True,True,False,0,0,0.4750000000000001,0.0,0.7321428571428572,0.5342592592592594,0.4750000000000001,0.0,0.0,0.3,1.0,True,17.5,8,30.0,70.0,19.0,6.0
OracleSync Network,structured,Infrastructure,Success,True,True,False,0,0,0.2749999999999999,0.5961538461538463,0.5648148148148149,0.384020618556701,0.2751748251748254,0.0,1.0,0.24475524475524477,0.8,True,3.8461538461538463,4,25.0,75.0,25.0,0
StorageCloud Protocol,structured,Infrastructure,Success,True,True,False,0,0,0.236,0.0,0.40000000000000013,0.25,0.23630252100840332,0.0,0.0,0.31848739495798317,0.8,True,24.0,5,32.0,68.0,20.0,12.0
ComputeChain Grid,structured,Infrastructure,Success,True,True,False,0,0,0.510909090909091,0.6993006993006994,0.6881472957422325,0.5723140495867769,0.5087235996326906,0.0,1.0,0.21212121212121213,0.8,True,1.282051282051282,11,22.0,78.0,16.0,4.0
InterChain Bridge,structured,Infrastructure,Success,True,True,False,0,0,0.25,0.5833333333333333,0.55,0.3666666666666667,0.25,0.0,1.0,0.39622641509433965,1.0,True,4.166666666666666,4,40.0,60.0,30.0,0
IdentityChain Trust,structured,Social and Content,Success,True,False,False,1,0,0.2777777777777777,0.6262626262626263,0.6123456790123456,0.38237119801365616,0.27723387723387716,0.0,1.0,0.4461538461538461,0.8,True,2.272727272727273,9,45.0,55.0,25.0,15.0
CreatorHub Platform,structured,Social and Content,Success,True,True,False,0,0,0.3666666666666667,0.0,0.6111111111111109,0.4215686274509802,0.3666666666666667,0.0,0.0,0.25,0.8,True,18.75,6,25.0,75.0,20.0,0
