project_name,input_type,category,status,passed_filter,control_aligned,control_requires_iteration,n_control_findings,n_filter_issues,overall_gini,t0_gini,gini_12m,gini_24m,gini_full,insider_share_t0,t0_distributed_share,fairness_drift,stress_pass_rate,stress_passed,year1_inflation_proxy,n_allocations,insider_pct,distributed_pct,team_pct,investor_pct
FluidLend Protocol,structured,DeFi,Success,True,True,False,0,0,0.40000000000000013,0.6000000000000001,0.5846153846153848,0.4971428571428571,0.4037854889589907,0.0,1.0,0.19242902208201892,1.0,True,1.5625,5,20.0,80.0,15.0,5.0
SynthSwap DEX,structured,DeFi,Success,True,True,False,0,0,0.3800000000000001,0.7,0.6509803921568629,0.47096774193548385,0.3798952879581152,0.0,1.0,0.3968586387434555,1.0,True,6.25,5,40.0,60.0,25.0,10.0
YieldFarm Collective,structured,DeFi,Success,True,True,False,0,0,0.17500000000000004,0.5192307692307692,0.4772727272727273,0.312814070351759,0.17737430167597767,0.0,1.0,0.34636871508379885,0.8,True,5.769230769230769,4,35.0,65.0,20.0,15.0
StableAsset USD,structured,DeFi,Success,True,True,False,0,0,0.22399999999999998,0.0,0.33777777777777773,0.1585365853658538,0.22399999999999998,0.0,0.0,0.32,0.8,True,22.5,5,32.0,68.0,20.0,12.0
InsureChain Protocol,structured,DeFi,Success,True,True,False,0,0,0.256,0.8,0.5814432989690723,0.34444444444444455,0.256,0.0,1.0,0.27,0.8,True,46.96969696969697,5,27.0,73.0,15.0,12.0
CurveRoute Exchange,structured,DeFi,Success,True,True,False,0,0,0.2571428571428571,0.8571428571428572,0.47899159663865554,0.24884792626728114,0.25108225108225124,0.0,1.0,0.40404040404040403,0.2,False,126.66666666666666,7,40.0,60.0,10.0,25.0
PlayAxis Gaming,structured,Gaming and Metaverse,LLM_Failed,,,,,,,,,,,,,,,,,,,,,
MetaEstate Virtual Realty,structured,Gaming and Metaverse,Success,True,False,False,1,0,0.125,0.75,0.6602564102564104,0.2326839826839826,0.12040923399790127,0.0,1.0,0.4533053515215111,0.8,True,21.875,4,45.0,55.0,25.0,20.0
NFTBattle Arena,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.21599999999999997,0.0,0.6799999999999999,0.3057471264367817,0.21421960454354227,0.0,0.0,0.3505747126436782,0.8,True,12.5,5,27.0,73.0,12.0,15.0
EsportsLeague Token,structured,Gaming and Metaverse,Success,True,False,False,1,0,0.07499999999999996,0.0,0.5227272727272727,0.2455357142857142,0.07670157068062822,0.0,0.0,0.5446428571428571,0.8,True,13.750000000000002,4,45.0,55.0,25.0,20.0
Layer2Surge Scaling,structured,Infrastructure,Success,True,True,False,0,0,0.25,0.75,0.75,0.4928571428571429,0.2542016806722691,0.0,1.0,0.3025210084033613,1.0,True,0.0,4,30.0,70.0,30.0,0
OracleSync Network,structured,Infrastructure,Success,True,True,False,0,0,0.2749999999999999,0.0,0.381578947368421,0.2126865671641791,0.2749999999999999,0.0,0.0,0.25,0.6,False,23.75,4,25.0,75.0,25.0,0
StorageCloud Protocol,structured,Infrastructure,Success,True,True,False,0,0,0.236,0.0,0.40000000000000013,0.2453987730061351,,0.0,0.0,0.4294478527607362,1.0,True,12.3,5,32.0,68.0,20.0,12.0
ComputeChain Grid,structured,Infrastructure,Success,True,True,False,0,0,0.3500000000000001,0.0,0.75,0.5117021276595746,,0.0,0.0,0.1702127659574468,0.8,True,13.750000000000002,4,20.0,80.0,20.0,0
InterChain Bridge,structured,Infrastructure,Success,True,True,False,0,0,0.25,0.0,0.4817073170731707,0.22945205479452047,0.25,0.0,0.0,0.4,0.8,True,13.666666666666666,4,40.0,60.0,30.0,0
IdentityChain Trust,structured,Social and Content,Success,True,False,False,1,0,0.17500000000000004,0.0,0.5700000000000001,0.08653846153846145,0.17077649527806926,0.0,0.0,0.49038461538461536,0.8,True,10.416666666666668,4,45.0,55.0,30.0,15.0
CreatorHub Platform,structured,Social and Content,Success,True,True,False,0,0,0.19999999999999996,0.0,0.6136363636363635,0.23198198198198194,0.19999999999999996,0.0,0.0,0.25,0.8,True,13.750000000000002,4,25.0,75.0,25.0,0
SocialChain Network,structured,Social and Content,Success,True,True,False,0,0,0.272,0.0,0.6101694915254239,0.3685678073510772,,0.0,0.0,0.29784537389100124,0.8,True,19.666666666666664,5,32.0,68.0,20.0,12.0
MusicRights Token,structured,Gaming and Metaverse,Success,True,False,False,1,0,0.17500000000000004,0.0,0.75,0.3035714285714286,0.1785714285714286,0.0,0.0,0.5042016806722689,0.8,True,7.5,4,50.0,50.0,35.0,15.0
StreamFlow Rewards,structured,Social and Content,Success,True,True,False,0,0,0.14000000000000012,0.0,0.3767441860465117,0.20932944606413995,0.14141414141414144,0.0,0.0,0.35353535353535354,0.6,False,21.5,5,35.0,65.0,20.0,15.0
NFTMarketX Exchange,structured,Marketplace,Success,True,True,False,0,0,0.25,0.0,0.6785714285714286,0.3942307692307694,0.25,0.0,0.0,0.4,0.0,False,46.666666666666664,4,40.0,60.0,30.0,0
DataMarket Exchange,structured,Marketplace,Success,True,True,False,0,0,0.244,0.0,0.5148886283704575,0.3559118236472949,0.2427947598253275,0.0,0.0,0.3224722875377897,0.6,False,28.433333333333334,5,32.0,68.0,20.0,12.0
FreelanceDAO Network,structured,Marketplace,Success,True,True,False,0,0,0.19999999999999996,0.75,0.6785714285714286,0.3798076923076923,0.19999999999999996,0.0,1.0,0.25,0.8,True,16.666666666666664,4,25.0,75.0,25.0,0
RealEstate Token,structured,Marketplace,Success,True,False,False,1,0,0.17500000000000004,0.0,0.5543478260869565,0.22142857142857153,0.1785714285714286,0.0,0.0,0.4857142857142857,0.8,True,9.583333333333332,4,45.0,55.0,30.0,15.0
SupplyChain Verify,structured,Marketplace,Success,True,True,False,0,0,0.22999999999999998,0.5833333333333333,0.4850000000000003,0.3374999999999999,0.22999999999999998,0.0,1.0,0.28,0.8,True,11.111111111111125,4,28.0,72.0,28.0,0
IoTLink Protocol,structured,Infrastructure,Success,True,True,False,0,0,0.31000000000000005,0.0,0.49242424242424243,0.3078512396694213,0.3080808080808082,0.0,0.0,0.2222222222222222,0.8,True,16.5,4,22.0,78.0,22.0,0
HealthChain Records,structured,Utility,Success,True,True,False,0,0,0.25,0.0,0.4045064377682406,0.22590361445783147,0.25,0.0,0.0,0.29292929292929293,0.2,False,38.83333333333333,4,30.0,70.0,30.0,0
LearnToken Education,structured,Utility,Success,True,True,False,0,0,0.2749999999999999,0.0,0.5147058823529411,0.2954545454545454,0.27941176470588247,0.0,0.0,0.25210084033613445,0.6,False,21.25,4,25.0,75.0,25.0,0
EnergySwap Grid,structured,Marketplace,Success,True,True,False,0,0,0.30000000000000004,0.0,0.71875,0.5080645161290325,0.3028846153846152,0.0,0.0,0.19711538461538458,0.6,False,26.666666666666668,4,20.0,80.0,20.0,0
CarbonOffset Credits,structured,Utility,Success,True,True,False,0,0,0.19999999999999996,0.0,0.6477272727272727,0.2574626865671641,0.1994949494949494,0.0,0.0,0.3939393939393939,0.8,True,14.666666666666666,4,40.0,60.0,30.0,10.0
GovStack Protocol,structured,Social and Content,Success,True,True,False,0,0,0.25,0.0,0.5795454545454546,0.3142857142857143,0.2527932960893855,0.0,0.0,0.42857142857142855,0.8,True,18.333333333333332,4,40.0,60.0,30.0,0
ArtPlatform Collective,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.2749999999999999,0.75,0.45175438596491224,0.18962264150943398,0.27050473186119883,0.0,1.0,0.25236593059936907,0.6,False,78.125,4,25.0,75.0,25.0,0
MovieFinance Token,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.19999999999999996,0.0,0.5337837837837838,0.2324797843665769,0.20378151260504218,0.0,0.0,0.4033613445378151,0.8,True,11.5625,4,40.0,60.0,30.0,10.0
PredictionMarket Hub,structured,Social and Content,Success,True,True,False,0,0,0.2749999999999999,0.0,0.5,0.30405405405405395,0.2749999999999999,0.0,0.0,0.25,0.6,False,23.333333333333332,4,25.0,75.0,25.0,0
LiquidityPool Protocol,structured,DeFi,Success,True,True,False,0,0,0.20799999999999996,0.8,0.5791411042944785,0.32996108949416336,0.20799999999999996,0.0,1.0,0.33,0.8,True,50.92592592592593,5,33.0,67.0,18.0,15.0
TokenBridge Enterprise,structured,Infrastructure,Success,True,True,False,0,0,0.25,0.0,0.11572438162544163,0.09094151212553503,,0.0,0.0,0.3209700427960057,0.8,True,13.476190476190474,4,30.0,70.0,30.0,0
DeFiCompose Suite,structured,Utility,Success,True,True,False,0,0,0.2749999999999999,0.0,0.5192307692307692,0.28781512605042026,0.27941176470588225,0.0,0.0,0.35294117647058826,0.8,True,16.25,4,35.0,65.0,25.0,10.0
RiskPool Insurance,structured,Utility,Success,True,True,False,0,0,0.18399999999999994,0.0,0.5010989010989011,0.2613333333333334,0.18585858585858595,0.0,0.0,0.29292929292929293,0.2,False,45.5,5,30.0,70.0,18.0,12.0
SwapRouter Advanced,structured,Marketplace,Success,True,True,False,0,0,0.3833333333333333,0.7666666666666666,0.6496598639455782,0.502690144289557,0.38541666666666674,0.0,1.0,0.2932692307692307,1.0,True,22.5,6,30.0,70.0,20.0,5.0
StakingDerive Finance,structured,DeFi,Success,True,True,False,0,0,0.26,0.0,0.5066666666666668,0.272,0.26,0.0,0.0,0.25,0.2,False,37.5,5,25.0,75.0,15.0,10.0
YieldPerp Futures,structured,DeFi,Success,True,True,False,0,0,0.3600000000000001,0.0,0.5643835616438357,0.4337349397590362,0.35973154362416104,0.0,0.0,0.2751677852348993,0.0,False,73.0,5,28.0,72.0,24.0,0
VoteDAO Governance,structured,Social and Content,Success,True,True,False,0,0,0.21999999999999997,0.0,0.39384615384615373,0.27549668874172184,0.22521008403361353,0.0,0.0,0.2941176470588235,0.6,False,27.083333333333336,5,30.0,70.0,15.0,15.0
AgriChain Supply,structured,Marketplace,Success,True,True,False,0,0,0.22799999999999998,0.0,0.45933014354067003,0.3351812366737741,0.23030303030303045,0.0,0.0,0.2727272727272727,0.2,False,34.833333333333336,5,28.0,72.0,18.0,10.0
PrivacyVault Network,structured,Social and Content,Success,True,True,False,0,0,0.23199999999999998,0.8,0.5056603773584907,0.31466666666666665,0.2343434343434343,0.0,1.0,0.29292929292929293,0.6,False,76.66666666666667,5,30.0,70.0,18.0,12.0
TutorChain Education,structured,Utility,Success,True,True,False,0,0,0.16000000000000014,0.8,0.4992700729927011,0.28449197860962583,0.16806722689075637,0.0,1.0,0.29411764705882354,0.4,False,90.27777777777776,5,30.0,70.0,15.0,15.0
