project_name,input_type,category,status,passed_filter,control_aligned,control_requires_iteration,n_control_findings,n_filter_issues,overall_gini,t0_gini,gini_12m,gini_24m,gini_full,insider_share_t0,t0_distributed_share,fairness_drift,stress_pass_rate,stress_passed,year1_inflation_proxy,n_allocations,insider_pct,distributed_pct,team_pct,investor_pct
FluidLend Protocol,structured,DeFi,Success,True,True,False,0,0,0.40000000000000013,0.8,0.6368715083798886,0.5168316831683173,0.4037854889589907,0.0,1.0,0.19242902208201892,0.8,True,49.16666666666666,5,20.0,80.0,15.0,5.0
SynthSwap DEX,structured,DeFi,Success,True,True,False,0,0,0.2749999999999999,0.0,0.446969696969697,0.31677265500794904,0.27513089005235614,0.0,0.0,0.34659685863874345,1.0,True,16.5,4,35.0,65.0,25.0,0
YieldFarm Collective,structured,DeFi,Success,True,True,False,0,0,0.17500000000000004,0.5192307692307692,0.4772727272727273,0.312814070351759,0.17737430167597767,0.0,1.0,0.34636871508379885,0.8,True,5.769230769230769,4,35.0,65.0,20.0,15.0
StableAsset USD,structured,DeFi,Success,True,True,False,0,0,0.22399999999999998,0.0,0.5195876288659795,0.28349514563106815,0.22399999999999998,0.0,0.0,0.32,0.0,False,48.5,5,32.0,68.0,20.0,12.0
InsureChain Protocol,structured,DeFi,Success,True,True,False,0,0,0.256,0.8,0.6173913043478261,0.39402985074626873,0.256,0.0,1.0,0.27,1.0,True,39.39393939393939,5,27.0,73.0,15.0,12.0
CurveRoute Exchange,structured,DeFi,Success,True,True,False,0,0,0.31666666666666665,0.6190476190476191,0.5511111111111111,0.40476190476190466,0.3218487394957985,0.0,1.0,0.29411764705882354,1.0,True,7.142857142857142,6,30.0,70.0,15.0,15.0
PlayAxis Gaming,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.19999999999999996,0.5833333333333333,0.5343137254901962,0.3259162303664922,0.19965034965034945,0.0,1.0,0.39580419580419585,0.8,True,6.25,4,40.0,60.0,25.0,15.0
MetaEstate Virtual Realty,structured,Gaming and Metaverse,Success,True,False,False,1,0,0.125,0.5681818181818181,0.5681818181818181,0.3068181818181819,0.12412587412587395,0.0,1.0,0.4461538461538462,0.8,True,0.0,4,45.0,55.0,25.0,20.0
NFTBattle Arena,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.21599999999999997,0.0,0.5743243243243243,0.3593556381660472,,0.0,0.0,0.37794299876084264,0.8,True,14.799999999999999,5,27.0,73.0,12.0,15.0
EsportsLeague Token,structured,Gaming and Metaverse,Success,True,False,False,1,0,0.34285714285714297,0.8571428571428572,0.6136820925553321,0.4224196855775806,0.3481392557022811,0.0,1.0,0.5966386554621849,0.4,False,97.22222222222221,7,60.0,40.0,35.0,20.0
Layer2Surge Scaling,structured,Infrastructure,Success,True,True,False,0,0,0.25,0.0,0.5833333333333333,0.28846153846153855,0.25,0.0,0.0,0.3,1.0,True,15.0,4,30.0,70.0,30.0,0
OracleSync Network,structured,Infrastructure,Success,True,True,False,0,0,0.2749999999999999,0.0,0.5436507936507937,0.3326771653543308,,0.0,0.0,0.1968503937007874,0.8,True,15.75,4,25.0,75.0,25.0,0
StorageCloud Protocol,structured,Infrastructure,Success,True,True,False,0,0,0.236,0.5352941176470589,0.49577464788732395,0.35121951219512204,0.23798319327731088,0.0,1.0,0.3142857142857143,1.0,True,4.411764705882353,5,32.0,68.0,20.0,12.0
ComputeChain Grid,structured,Infrastructure,Success,True,True,False,0,0,0.3500000000000001,0.0,0.7008196721311475,0.4686234817813766,,0.0,0.0,0.2226720647773279,0.8,True,15.25,4,30.0,70.0,20.0,10.0
InterChain Bridge,structured,Infrastructure,Success,True,True,False,0,0,0.25,0.0,0.0,0.2272727272727273,,0.0,0.0,0.45454545454545453,0.8,True,,4,40.0,60.0,30.0,0
IdentityChain Trust,structured,Social and Content,Success,True,False,False,1,0,0.17500000000000004,0.0,0.35317460317460325,0.07320441988950277,0.1716261525565801,0.0,0.0,0.4696132596685083,0.8,True,15.75,4,45.0,55.0,30.0,15.0
CreatorHub Platform,structured,Social and Content,Success,True,True,False,0,0,0.19999999999999996,0.0,0.6071428571428572,0.2157794676806084,0.20454545454545459,0.0,0.0,0.25252525252525254,0.8,True,14.000000000000002,4,25.0,75.0,25.0,0
SocialChain Network,structured,Social and Content,Success,True,True,False,0,0,0.272,0.0,0.4623376623376625,0.29726775956284146,0.2712849162011173,0.0,0.0,0.31620111731843575,0.6,False,25.666666666666664,5,32.0,68.0,20.0,12.0
MusicRights Token,structured,Gaming and Metaverse,Success,True,False,False,1,0,0.17500000000000004,0.0,0.6666666666666667,0.3488023952095809,0.1785714285714286,0.0,0.0,0.5042016806722689,0.8,True,18.0,4,50.0,50.0,35.0,15.0
StreamFlow Rewards,structured,Social and Content,Success,True,True,False,0,0,0.14000000000000012,0.0,0.3926605504587155,0.19522184300341294,0.1407821229050279,0.0,0.0,0.3463687150837989,0.6,False,22.708333333333332,5,35.0,65.0,20.0,15.0
NFTMarketX Exchange,structured,Marketplace,Success,True,True,False,0,0,0.25,0.0,0.5833333333333333,0.30952380952380953,0.25,0.0,0.0,0.4,0.8,True,20.0,4,40.0,60.0,30.0,0
DataMarket Exchange,structured,Marketplace,Success,True,True,False,0,0,0.244,0.0,0.5491525423728814,0.3544609198291029,,0.0,0.0,0.23624026137220408,0.6,False,26.55,5,32.0,68.0,20.0,12.0
FreelanceDAO Network,structured,Marketplace,Success,True,True,False,0,0,0.19999999999999996,0.0,0.6136363636363635,0.2152173913043478,0.19999999999999996,0.0,0.0,0.25,0.8,True,13.750000000000002,4,25.0,75.0,25.0,0
RealEstate Token,structured,Marketplace,Success,True,False,False,1,0,0.17500000000000004,0.0,0.4772727272727273,0.2857142857142858,0.17500000000000004,0.0,0.0,0.45,0.6,False,27.500000000000004,4,45.0,55.0,30.0,15.0
SupplyChain Verify,structured,Marketplace,Success,True,True,False,0,0,0.22999999999999998,0.0,0.19705882352941195,0.19705882352941173,0.22999999999999998,0.0,0.0,0.32941176470588235,0.8,True,14.166666666666666,4,28.0,72.0,28.0,0
IoTLink Protocol,structured,Infrastructure,Success,True,True,False,0,0,0.31000000000000005,0.6666666666666667,0.6027131782945736,0.42248908296943233,0.31249123299200465,0.0,1.0,0.21601907700939826,0.8,True,7.5,4,22.0,78.0,22.0,0
HealthChain Records,structured,Utility,Success,True,True,False,0,0,0.25,0.0,0.5376106194690264,0.2640845070422535,0.25,0.0,0.0,0.29292929292929293,0.8,True,18.833333333333332,4,30.0,70.0,30.0,0
LearnToken Education,structured,Utility,Success,True,True,False,0,0,0.2749999999999999,0.75,0.7033678756476685,0.5242155525238745,,0.0,1.0,0.1364256480218281,0.8,True,7.222222222222221,4,25.0,75.0,25.0,0
EnergySwap Grid,structured,Marketplace,Success,True,True,False,0,0,0.30000000000000004,0.75,0.6666666666666667,0.48795180722891573,0.3052884615384617,0.0,1.0,0.19230769230769232,0.8,True,20.0,4,20.0,80.0,20.0,0
CarbonOffset Credits,structured,Utility,Success,True,True,False,0,0,0.19999999999999996,0.0,0.4907407407407407,0.17465753424657526,0.1994949494949494,0.0,0.0,0.4109589041095891,0.8,True,18.0,4,40.0,60.0,30.0,10.0
GovStack Protocol,structured,Social and Content,Success,True,True,False,0,0,0.25,0.0,0.3916666666666666,0.2564102564102564,0.25,0.0,0.0,0.4,0.6,False,25.0,4,40.0,60.0,30.0,0
ArtPlatform Collective,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.2749999999999999,0.0,0.55,0.2587719298245612,0.2749999999999999,0.0,0.0,0.25,0.8,True,18.75,4,25.0,75.0,25.0,0
MovieFinance Token,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.19999999999999996,0.75,0.588235294117647,0.27727272727272734,0.19677284157585917,0.0,1.0,0.4023470243084661,0.8,True,36.0,4,40.0,60.0,30.0,10.0
PredictionMarket Hub,structured,Social and Content,Success,True,True,False,0,0,0.2749999999999999,0.0,0.34615384615384626,0.2616279069767442,0.2749999999999999,0.0,0.0,0.25,0.2,False,43.333333333333336,4,25.0,75.0,25.0,0
LiquidityPool Protocol,structured,DeFi,Success,True,True,False,0,0,0.20799999999999996,0.6918918918918919,0.4994818652849742,0.2714801444043322,0.20799999999999996,0.0,1.0,0.33,1.0,True,30.405405405405407,5,33.0,67.0,18.0,15.0
TokenBridge Enterprise,structured,Infrastructure,Success,True,True,False,0,0,0.25,0.0,0.3700000000000001,0.28083700440528614,0.25,0.0,0.0,0.2949640287769784,0.6,False,23.809523809523807,4,30.0,70.0,30.0,0
DeFiCompose Suite,structured,Utility,Success,True,True,False,0,0,0.2749999999999999,0.0,0.685483870967742,0.4318181818181819,0.27517482517482517,0.0,0.0,0.34545454545454546,0.2,False,38.75,4,35.0,65.0,25.0,10.0
RiskPool Insurance,structured,Utility,Success,True,True,False,0,0,0.18399999999999994,0.0,0.5365853658536586,0.237714285714286,0.18399999999999994,0.0,0.0,0.3,0.8,True,20.5,5,30.0,70.0,18.0,12.0
SwapRouter Advanced,structured,Marketplace,Success,True,True,False,0,0,0.25,0.0,0.4558823529411764,0.3117977528089888,0.2500000000000002,0.0,0.0,0.2949640287769784,0.4,False,28.333333333333332,4,30.0,70.0,30.0,0
StakingDerive Finance,structured,DeFi,LLM_Failed,,,,,,,,,,,,,,,,,,,,,
