project_name,input_type,category,status,passed_filter,control_aligned,control_requires_iteration,n_control_findings,n_filter_issues,overall_gini,t0_gini,gini_12m,gini_24m,gini_full,insider_share_t0,t0_distributed_share,fairness_drift,stress_pass_rate,stress_passed,year1_inflation_proxy,n_allocations,insider_pct,distributed_pct,team_pct,investor_pct
FluidLend Protocol,structured,DeFi,Success,True,True,False,0,0,0.30000000000000004,0.5,0.5,0.42647058823529416,0.3046218487394958,0.0,1.0,0.19327731092436976,1.0,True,0.0,4,20.0,80.0,20.0,0
SynthSwap DEX,structured,DeFi,Success,True,True,False,0,0,0.3800000000000001,0.7,0.6509803921568629,0.47096774193548385,0.3798952879581152,0.0,1.0,0.3968586387434555,1.0,True,6.25,5,40.0,60.0,25.0,5.0
YieldFarm Collective,structured,DeFi,Success,True,True,False,0,0,0.17500000000000004,0.5192307692307692,0.4772727272727273,0.312814070351759,0.17737430167597767,0.0,1.0,0.34636871508379885,0.8,True,5.769230769230769,4,35.0,65.0,20.0,15.0
StableAsset USD,structured,DeFi,Success,True,True,False,0,0,0.22399999999999998,0.5176470588235293,0.47887323943661975,0.31394422310756975,0.22525139664804472,0.0,1.0,0.31620111731843575,1.0,True,4.411764705882353,5,32.0,68.0,20.0,12.0
InsureChain Protocol,structured,DeFi,Success,True,True,False,0,0,0.256,0.526027397260274,0.4894736842105263,0.3540229885057471,0.258151260504202,0.0,1.0,0.2638655462184874,1.0,True,4.10958904109589,5,27.0,73.0,15.0,12.0
CurveRoute Exchange,structured,DeFi,Success,True,True,False,0,0,0.28,0.6326923076923077,0.5455020920502092,0.37644508670520227,0.28393037336024207,0.0,1.0,0.3440968718466196,0.8,True,10.307692307692308,8,35.0,65.0,12.0,18.0
PlayAxis Gaming,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.19999999999999996,0.5833333333333333,0.5343137254901962,0.3259162303664922,0.19965034965034945,0.0,1.0,0.39580419580419585,0.8,True,6.25,4,40.0,60.0,25.0,15.0
MetaEstate Virtual Realty,structured,Gaming and Metaverse,Success,True,False,False,1,0,0.125,0.5681818181818181,0.5681818181818181,0.3665644171779139,0.12434554973821998,0.0,1.0,0.4471204188481675,0.8,True,0.0,4,45.0,55.0,25.0,20.0
NFTBattle Arena,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.21599999999999997,0.5095890410958905,0.4651465798045602,0.3342776203966007,0.2262626262626264,0.0,1.0,0.26262626262626265,0.8,True,5.136986301369863,5,27.0,73.0,12.0,15.0
EsportsLeague Token,structured,Gaming and Metaverse,Success,True,False,False,1,0,0.07499999999999996,0.5227272727272727,0.45833333333333326,0.23936170212765973,0.07727272727272738,0.0,1.0,0.4461538461538461,0.8,True,9.090909090909092,4,45.0,55.0,25.0,20.0
